bid_pbanc_no,bid_pbanc_ord,bid_clsf_no,bid_prgrs_ord,ibx_onbs_rnkg,ibx_grp_nm,ibx_bdng_amt,ibx_slpr_rcptn_dt,ibx_bzmn_reg_no,ibx_rprsv_nm,bidr_prsn_no,bidr_prsn_nm,bid_ufns_rsn_cd,bid_ufns_rsn_nm,ufns_yn,ibx_evl_scr_prpl,ibx_evl_scr_prce,ibx_evl_scr_ovrl,ibx_evl_scr_prpl_num,ibx_evl_scr_prce_num,ibx_evl_scr_ovrl_num,sfbr_slctn_ord,sfbr_slctn_rslt_cd
R26BK01290480,000,0,000,1,주식회사 한국친환경연구소,78000000,2026-01-28 11:02:01,2158765173,양준승,UN00000060478,임재항,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290480,000,0,000,2,용운환경주식회사,84000000,2026-01-28 10:07:04,1088173785,박승민,C108817378501,박승용,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290480,000,0,000,3,주식회사 한국산업환경연구소,98000000,2026-01-27 16:57:17,1018676826,박희웅,C101867682601,정은아,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290480,000,0,000,4,(주) 디오디엔지니어링,110000000,2026-01-28 09:15:20,2158733351,김설래,C215873335101,박미정,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290480,000,0,000,5,주식회사 대한환경분석기관,142000000,2026-01-26 14:24:24,1198668346,신종우,C119866834601,신유연,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290370,000,0,000,1,세무법인청솔,108000000,2026-01-27 15:44:30,1088197467,구판서,UN00000383338,이가희,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290370,000,0,000,2,세담 세무법인,120200000,2026-01-27 16:00:54,7578102457,김해숙,C757810245701,김명삼,입200037,기준금액 초과,False,0,0,0,0.0,0.0,0.0,,
R26BK01290447,000,0,000,1,주식회사 루콘코씨앤씨,382140000,2026-01-28 13:48:08,3028130054,김영아,UN00000033854,허상욱,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290447,000,0,000,2,주식회사 다성에스엔시,396330000,2026-01-28 15:46:34,1288682283,권홍철,C128868228301,김일환,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290447,000,0,000,3,주식회사탑솔루션,407660000,2026-01-28 13:55:07,4878700154,김영삼,UN00000573043,윤태원,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290447,000,0,000,4,주식회사 로앤일,421850000,2026-01-28 13:29:43,1088611917,윤승만,UN00000240384,윤승만,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290567,000,0,000,1,주식회사 우영기술단건축사사무소,380000000,2026-01-28 16:07:34,4108192502,이몽룡,UN00000122038,백은미,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290567,000,0,000,2,만승엔지니어링 주식회사,430000000,2026-01-28 15:13:06,4258701363,김성환,C425870136301,조혜영,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,1,주식회사 대한환경,52000000,2026-01-29 14:49:51,7198102080,손나영,C719810208001,손나영,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,2,주식회사 한국친환경연구소,67000000,2026-01-28 11:02:58,2158765173,양준승,UN00000060478,임재항,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,3,용운환경주식회사,82000000,2026-01-28 10:09:39,1088173785,박승민,C108817378501,박승용,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,4,주식회사 한국산업환경연구소,95000000,2026-01-27 16:58:03,1018676826,박희웅,C101867682601,정은아,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,5,(주) 디오디엔지니어링,106000000,2026-01-28 09:16:45,2158733351,김설래,C215873335101,박미정,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
R26BK01290542,000,0,000,6,주식회사 대한환경분석기관,141000000,2026-01-26 14:28:22,1198668346,신종우,C119866834601,신유연,입200001,정상,False,0,0,0,0.0,0.0,0.0,,
